STATION,WLM_GSE
01N04E36Q001M,6.9
01N04E36Q002M,-1.0
01N04E36Q003M,8.6
01N04E36Q004M,15.9
01S04E28F001M,16.1
01S04E28F002M,2.2
01S04E28F003M,15.4
01S04E28P001M,6.7
01S04E28P002M,13.7
01S04E28P003M,16.9
01S04E28P004M,14.1
01S06E09E001M,6.67
01S06E09E002M,7.24
01S06E16D002M,9.38
01S06E16D003M,8.96
01S06E29R001M,13.06
01S06E29R002M,13.04
01S06E29R003M,13.01
04N05E07N002M,3.52
05N03E09L001M,17.61
05N03E09L002M,17.97
05N03E16B001M,16.41
05N03E16B002M,16.45
05N03E16H001M,15.87
05N03E16H002M,15.94
05N03E16J001M,0.93
05N03E16J002M,0.82
05N03E16R001M,27.11
05N03E16R002M,15.7
05N03E20B001M,13.85
05N03E20B002M,13.99
05N03E20B003M,13.96
05N03E21G001M,15.34
05N03E21G002M,15.33
05N03E21G003M,15.33
05N03E21H001M,2.78
05N03E21H002M,2.93
05N03E21L002M,14.85
05N03E29A001M,14.81
05N03E29A002M,14.79
05N03E29C001M,12.95
05N03E29C002M,12.85
07N02E35D001M,33.0
07N02E35D002M,33.0
07N02E35D003M,33.0
09N03E08C001M,30.016
09N03E08C002M,30.016
09N03E08C003M,30.016
09N03E08C004M,30.016
09N04E20N001M,12.5
09N04E20N002M,12.5
09N07E02G001M,177.32
10N03E10J500M,23.0
10N03E10R501M,19.85
10N03E11N500M,19.14
10N03E15J503M,18.25
10N03E22K501M,22.1
10N03E23D500M,22.1
10N03E23E501M,24.0
10N03E34C502M,23.2
10N03E34C503M,23.2
10N04E27R002M,25.0
10N04E27R003M,25.0
10N04E27R004M,25.0
10N04E31M001M,14.0
10N04E31M002M,14.0
10N04E31M003M,14.0
10N04E31M004M,14.0
11N01E02D001M,20.0
11N01E02D002M,20.0
11N01E02D003M,20.0
11N01E24Q004M,44.58
11N01E24Q005M,44.58
11N01E24Q006M,44.58
11N01E24Q007M,44.58
11N01E24Q500M,41.71
11N01E24Q501M,41.71
11N01E24Q502M,41.71
11N01E24Q503M,41.71
11N02E05F001M,26.0
11N03E02Q002M,24.71
11N03E02Q003M,24.71
11N03E02Q004M,24.71
11N03E02Q005M,24.71
11N03E27N500M,31.44
11N03E27N501M,31.66
11N03E27N502M,32.59
11N03E27N503M,32.62
11N03E34D500M,29.1
11N03E34D501M,29.0
11N03E34N500M,29.36
11N03E34N502M,28.71
11N03E34N503M,29.29
11N03E34N504M,22.5
11N03E34N505M,22.5
11N04E04N001M,29.06
11N04E04N002M,29.06
11N04E04N003M,26.7
11N04E04N004M,29.06
12N01E07N001M,25.0
12N01E07N002M,25.0
12N01E07N003M,25.0
12N01E14R001M,27.0
12N01E14R002M,27.0
12N01E14R003M,27.0
12N01W04M001M,116.1
12N01W04M002M,116.1
12N01W04M003M,116.1
12N01W15N005M,62.1
12N01W15N006M,62.1
12N01W15N007M,62.1
12N02E21Q001M,32.71
12N02E21Q002M,32.71
12N02E21Q003M,32.71
12N02E23H001M,22.236
12N02E23H002M,22.236
12N02E23H003M,22.236
12N02E23H004M,22.236
12N02E33P003M,28.21
12N04E03N001M,48.0
12N04E03N002M,48.0
12N04E03N003M,48.0
12N04E03N004M,48.0
12N04E26J002M,48.0
12N04E26J003M,48.0
12N04E26J004M,48.0
13N01E21B002M,25.41
13N01E22A001M,30.0
13N01E22A002M,30.0
13N01E24G002M,29.83
13N01E24G003M,27.0
13N01E24G004M,27.0
13N01W13P001M,25.0
13N01W13P002M,25.0
13N01W13P003M,25.0
13N03E06A001M,35.546
13N03E06A002M,35.546
13N03E06A003M,35.546
13N03E26J002M,37.081
13N03E26J003M,37.081
13N03E26J004M,37.081
